TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,NUMBER_OF_SALES,UNITS_SOLD,HOUR_OF_DAY,DAY_OF_WEEK,TIME_BUCKET,PRODUCT_DETAIL,PRODUCT_TYPE,STORE_LOCATION,PRODUCT_CATEGORY
42.00,14,8,14,13,Tue,afternoon,Brazilian Rg,Organic brewed coffee,Lower Manhattan,Coffee
32.50,13,8,13,13,Tue,afternoon,Columbian Medium Roast Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
6.50,2,2,2,13,Tue,afternoon,Hazelnut Biscotti,Biscotti,Lower Manhattan,Bakery
71.25,19,12,19,13,Tue,afternoon,Sustainably Grown Organic Rg,Hot chocolate,Lower Manhattan,Drinking Chocolate
30.00,15,10,15,13,Tue,afternoon,Columbian Medium Roast Sm,Gourmet brewed coffee,Astoria,Coffee
21.00,7,5,7,13,Tue,afternoon,Brazilian Rg,Organic brewed coffee,Hell's Kitchen,Coffee
22.50,6,6,6,13,Tue,afternoon,Jumbo Savory Scone,Scone,Hell's Kitchen,Bakery
37.20,12,7,12,13,Tue,afternoon,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
14.00,4,4,4,14,Tue,afternoon,Ginger Biscotti,Biscotti,Lower Manhattan,Bakery
30.00,10,7,10,14,Tue,afternoon,Peppermint Lg,Brewed herbal tea,Lower Manhattan,Tea
19.00,4,4,4,14,Tue,afternoon,Sustainably Grown Organic Lg,Hot chocolate,Lower Manhattan,Drinking Chocolate
37.50,10,9,10,14,Tue,afternoon,Jumbo Savory Scone,Scone,Astoria,Bakery
8.95,1,1,1,14,Tue,afternoon,Lemon Grass,Herbal tea,Hell's Kitchen,Loose Tea
21.70,7,4,7,15,Tue,afternoon,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
47.50,19,11,19,15,Tue,afternoon,Traditional Blend Chai Rg,Brewed Chai tea,Astoria,Tea
19.75,1,1,1,15,Tue,afternoon,Jamacian Coffee River,Premium Beans,Lower Manhattan,Coffee beans
45.00,15,10,15,15,Tue,afternoon,English Breakfast Lg,Brewed Black tea,Astoria,Tea
52.50,21,15,21,15,Tue,afternoon,Lemon Grass Rg,Brewed herbal tea,Astoria,Tea
45.00,15,10,15,15,Tue,afternoon,Espresso shot,Barista Espresso,Astoria,Coffee
27.90,9,5,9,16,Tue,evening,Jamaican Coffee River Rg,Premium brewed coffee,Lower Manhattan,Coffee
33.75,9,6,9,16,Tue,evening,Cappuccino,Barista Espresso,Astoria,Coffee
42.00,2,2,2,16,Tue,evening,Ethiopia,Gourmet Beans,Astoria,Coffee beans
26.85,3,3,3,16,Tue,evening,Peppermint,Herbal tea,Astoria,Loose Tea
80.00,20,13,20,16,Tue,evening,Morning Sunrise Chai Lg,Brewed Chai tea,Astoria,Tea
26.40,12,9,12,16,Tue,evening,Ethiopia Sm,Gourmet brewed coffee,Astoria,Coffee
39.00,13,10,13,16,Tue,evening,Brazilian Rg,Organic brewed coffee,Astoria,Coffee
42.00,2,2,2,16,Tue,evening,Ethiopia,Gourmet Beans,Lower Manhattan,Coffee beans
71.25,15,10,15,16,Tue,evening,Sustainably Grown Organic Lg,Hot chocolate,Astoria,Drinking Chocolate
36.00,12,8,12,16,Tue,evening,Earl Grey Lg,Brewed Black tea,Hell's Kitchen,Tea
66.00,22,15,22,16,Tue,evening,Peppermint Lg,Brewed herbal tea,Astoria,Tea
27.50,11,6,11,16,Tue,evening,Earl Grey Rg,Brewed Black tea,Astoria,Tea
52.50,15,7,15,16,Tue,evening,Ethiopia Lg,Gourmet brewed coffee,Lower Manhattan,Coffee
27.00,6,6,6,16,Tue,evening,Scottish Cream Scone ,Scone,Astoria,Bakery
14.70,6,5,6,16,Tue,evening,Jamaican Coffee River Sm,Premium brewed coffee,Lower Manhattan,Coffee
22.75,7,7,7,16,Tue,evening,Hazelnut Biscotti,Biscotti,Lower Manhattan,Bakery
10.50,3,3,3,16,Tue,evening,Croissant,Pastry,Astoria,Bakery
33.00,11,7,11,17,Tue,evening,Columbian Medium Roast Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
26.25,7,7,7,17,Tue,evening,Jumbo Savory Scone,Scone,Hell's Kitchen,Bakery
52.50,15,10,15,17,Tue,evening,Brazilian Lg,Organic brewed coffee,Astoria,Coffee
36.00,12,8,12,17,Tue,evening,Ethiopia Rg,Gourmet brewed coffee,Astoria,Coffee
30.00,10,8,10,17,Tue,evening,Peppermint Lg,Brewed herbal tea,Astoria,Tea
52.00,13,9,13,17,Tue,evening,Morning Sunrise Chai Lg,Brewed Chai tea,Astoria,Tea
3.75,1,1,1,17,Tue,evening,Chocolate Croissant,Pastry,Astoria,Bakery
30.00,10,6,10,17,Tue,evening,Brazilian Rg,Organic brewed coffee,Lower Manhattan,Coffee
15.50,5,3,5,18,Tue,evening,Jamaican Coffee River Rg,Premium brewed coffee,Lower Manhattan,Coffee
30.00,8,5,8,18,Tue,evening,Jamaican Coffee River Lg,Premium brewed coffee,Astoria,Coffee
40.00,16,11,16,18,Tue,evening,English Breakfast Rg,Brewed Black tea,Astoria,Tea
15.30,6,4,6,18,Tue,evening,Spicy Eye Opener Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
52.50,15,8,15,18,Tue,evening,Ethiopia Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
37.20,12,9,12,18,Tue,evening,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
59.50,17,12,17,19,Tue,evening,Brazilian Lg,Organic brewed coffee,Astoria,Coffee
9.50,1,1,1,19,Tue,evening,Morning Sunrise Chai,Chai tea,Hell's Kitchen,Loose Tea
24.80,8,5,8,19,Tue,evening,Jamaican Coffee River Rg,Premium brewed coffee,Astoria,Coffee
18.00,6,6,6,19,Tue,evening,Oatmeal Scone,Scone,Astoria,Bakery
10.00,1,1,1,19,Tue,evening,Guatemalan Sustainably Grown,Green beans,Astoria,Coffee beans
56.25,15,10,15,19,Tue,evening,Cappuccino,Barista Espresso,Astoria,Coffee
27.00,9,8,9,19,Tue,evening,Our Old Time Diner Blend Lg,Drip coffee,Astoria,Coffee
32.00,8,4,8,20,Tue,night,Morning Sunrise Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
22.50,6,6,6,20,Tue,night,Chocolate Croissant,Pastry,Hell's Kitchen,Bakery
4.40,2,2,2,20,Tue,night,Brazilian Sm,Organic brewed coffee,Lower Manhattan,Coffee
78.00,26,16,26,07,Wed,morning,English Breakfast Lg,Brewed Black tea,Lower Manhattan,Tea
39.00,13,8,13,07,Wed,morning,Serenity Green Tea Lg,Brewed Green tea,Lower Manhattan,Tea
114.00,38,20,38,07,Wed,morning,Our Old Time Diner Blend Lg,Drip coffee,Lower Manhattan,Coffee
67.50,27,15,27,07,Wed,morning,Earl Grey Rg,Brewed Black tea,Lower Manhattan,Tea
105.00,28,24,28,08,Wed,morning,Jamaican Coffee River Lg,Premium brewed coffee,Lower Manhattan,Coffee
56.10,22,14,22,08,Wed,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
32.50,10,10,10,08,Wed,morning,Hazelnut Biscotti,Biscotti,Lower Manhattan,Bakery
45.00,15,9,15,08,Wed,morning,Lemon Grass Lg,Brewed herbal tea,Lower Manhattan,Tea
63.00,18,18,18,08,Wed,morning,Croissant,Pastry,Hell's Kitchen,Bakery
69.00,23,16,23,08,Wed,morning,Our Old Time Diner Blend Lg,Drip coffee,Hell's Kitchen,Coffee
33.15,13,10,13,09,Wed,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
30.00,10,10,10,09,Wed,morning,Oatmeal Scone,Scone,Lower Manhattan,Bakery
57.50,23,16,23,09,Wed,morning,English Breakfast Rg,Brewed Black tea,Lower Manhattan,Tea
49.00,20,12,20,09,Wed,morning,Jamaican Coffee River Sm,Premium brewed coffee,Lower Manhattan,Coffee
108.75,29,18,29,09,Wed,morning,Cappuccino,Barista Espresso,Hell's Kitchen,Coffee
39.00,13,12,13,09,Wed,morning,Columbian Medium Roast Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
67.05,21,20,21,09,Wed,morning,Ginger Scone,Scone,Hell's Kitchen,Bakery
66.00,22,15,22,10,Wed,morning,Traditional Blend Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
60.00,20,14,20,10,Wed,morning,Brazilian Rg,Organic brewed coffee,Lower Manhattan,Coffee
24.50,7,7,7,11,Wed,morning,Croissant,Pastry,Lower Manhattan,Bakery
60.00,16,9,16,11,Wed,morning,Cappuccino,Barista Espresso,Astoria,Coffee
55.50,20,12,20,11,Wed,morning,Ouro Brasileiro shot,Barista Espresso,Lower Manhattan,Coffee
52.50,14,10,14,11,Wed,morning,Sustainably Grown Organic Rg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
52.50,14,14,14,11,Wed,morning,Almond Croissant,Pastry,Hell's Kitchen,Bakery
27.00,9,7,9,11,Wed,morning,Earl Grey Lg,Brewed Black tea,Lower Manhattan,Tea
22.50,6,5,6,11,Wed,morning,Sustainably Grown Organic Rg,Hot chocolate,Lower Manhattan,Drinking Chocolate
48.00,12,7,12,11,Wed,morning,Morning Sunrise Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
39.00,13,9,13,11,Wed,morning,Serenity Green Tea Lg,Brewed Green tea,Astoria,Tea
57.00,12,9,12,11,Wed,morning,Sustainably Grown Organic Lg,Hot chocolate,Astoria,Drinking Chocolate
51.00,17,10,17,11,Wed,morning,Earl Grey Lg,Brewed Black tea,Astoria,Tea
68.00,16,9,16,11,Wed,morning,Latte Rg,Barista Espresso,Lower Manhattan,Coffee
90.00,24,17,24,11,Wed,morning,Latte,Barista Espresso,Astoria,Coffee
32.50,13,8,13,11,Wed,morning,English Breakfast Rg,Brewed Black tea,Lower Manhattan,Tea
22.05,9,6,9,11,Wed,morning,Jamaican Coffee River Sm,Premium brewed coffee,Lower Manhattan,Coffee
37.50,15,9,15,12,Wed,afternoon,Columbian Medium Roast Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
21.00,7,5,7,12,Wed,afternoon,Lemon Grass Lg,Brewed herbal tea,Hell's Kitchen,Tea
42.00,12,9,12,12,Wed,afternoon,Brazilian Lg,Organic brewed coffee,Hell's Kitchen,Coffee
31.00,10,7,10,12,Wed,afternoon,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
13.20,6,3,6,12,Wed,afternoon,Brazilian Sm,Organic brewed coffee,Hell's Kitchen,Coffee
17.60,8,5,8,12,Wed,afternoon,Brazilian Sm,Organic brewed coffee,Lower Manhattan,Coffee
56.25,15,8,15,12,Wed,afternoon,Sustainably Grown Organic Rg,Hot chocolate,Astoria,Drinking Chocolate
42.50,17,12,17,12,Wed,afternoon,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
48.75,13,7,13,12,Wed,afternoon,Cappuccino,Barista Espresso,Astoria,Coffee
60.00,20,13,20,12,Wed,afternoon,English Breakfast Lg,Brewed Black tea,Hell's Kitchen,Tea
19.50,6,6,6,12,Wed,afternoon,Cranberry Scone,Scone,Astoria,Bakery
12.50,5,3,5,12,Wed,afternoon,Lemon Grass Rg,Brewed herbal tea,Hell's Kitchen,Tea
26.00,13,9,13,12,Wed,afternoon,Our Old Time Diner Blend Sm,Drip coffee,Astoria,Coffee
7.00,2,2,2,12,Wed,afternoon,Croissant,Pastry,Astoria,Bakery
16.25,5,5,5,12,Wed,afternoon,Hazelnut Biscotti,Biscotti,Lower Manhattan,Bakery
17.50,5,5,5,12,Wed,afternoon,Croissant,Pastry,Lower Manhattan,Bakery
73.50,21,14,21,12,Wed,afternoon,Brazilian Lg,Organic brewed coffee,Astoria,Coffee
72.00,24,14,24,12,Wed,afternoon,Lemon Grass Lg,Brewed herbal tea,Astoria,Tea
46.75,11,8,11,12,Wed,afternoon,Cappuccino Lg,Barista Espresso,Astoria,Coffee
22.50,6,5,6,12,Wed,afternoon,Jamaican Coffee River Lg,Premium brewed coffee,Hell's Kitchen,Coffee
33.00,11,6,11,13,Wed,afternoon,English Breakfast Lg,Brewed Black tea,Astoria,Tea
22.50,9,5,9,13,Wed,afternoon,Traditional Blend Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
49.60,16,11,16,13,Wed,afternoon,Jamaican Coffee River Rg,Premium brewed coffee,Astoria,Coffee
21.00,7,4,7,13,Wed,afternoon,Serenity Green Tea Lg,Brewed Green tea,Lower Manhattan,Tea
54.00,12,9,12,13,Wed,afternoon,Dark chocolate Lg,Hot chocolate,Lower Manhattan,Drinking Chocolate
63.00,14,8,14,13,Wed,afternoon,Dark chocolate Lg,Hot chocolate,Astoria,Drinking Chocolate
25.50,6,5,6,13,Wed,afternoon,Latte Rg,Barista Espresso,Lower Manhattan,Coffee
65.00,26,16,26,13,Wed,afternoon,Serenity Green Tea Rg,Brewed Green tea,Astoria,Tea
45.00,15,9,15,13,Wed,afternoon,Ethiopia Rg,Gourmet brewed coffee,Hell's Kitchen,Coffee
20.00,8,5,8,13,Wed,afternoon,Peppermint Rg,Brewed herbal tea,Hell's Kitchen,Tea
18.00,9,6,9,13,Wed,afternoon,Our Old Time Diner Blend Sm,Drip coffee,Hell's Kitchen,Coffee
30.00,12,8,12,13,Wed,afternoon,Morning Sunrise Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
22.75,7,7,7,13,Wed,afternoon,Cranberry Scone,Scone,Astoria,Bakery
22.50,9,5,9,13,Wed,afternoon,English Breakfast Rg,Brewed Black tea,Hell's Kitchen,Tea
27.00,9,6,9,13,Wed,afternoon,Our Old Time Diner Blend Lg,Drip coffee,Hell's Kitchen,Coffee
18.75,5,5,5,13,Wed,afternoon,Chocolate Croissant,Pastry,Hell's Kitchen,Bakery
45.00,15,9,15,14,Wed,afternoon,Brazilian Rg,Organic brewed coffee,Lower Manhattan,Coffee
32.50,10,10,10,14,Wed,afternoon,Hazelnut Biscotti,Biscotti,Lower Manhattan,Bakery
66.00,22,13,22,14,Wed,afternoon,Ethiopia Rg,Gourmet brewed coffee,Hell's Kitchen,Coffee
22.50,5,5,5,14,Wed,afternoon,Scottish Cream Scone ,Scone,Hell's Kitchen,Bakery
19.80,9,5,9,14,Wed,afternoon,Brazilian Sm,Organic brewed coffee,Lower Manhattan,Coffee
114.00,24,19,24,14,Wed,afternoon,Sustainably Grown Organic Lg,Hot chocolate,Astoria,Drinking Chocolate
18.00,6,6,6,14,Wed,afternoon,Oatmeal Scone,Scone,Astoria,Bakery
45.00,15,10,15,14,Wed,afternoon,Brazilian Rg,Organic brewed coffee,Astoria,Coffee
25.50,6,4,6,14,Wed,afternoon,Latte Rg,Barista Espresso,Lower Manhattan,Coffee
27.00,9,5,9,14,Wed,afternoon,Our Old Time Diner Blend Lg,Drip coffee,Lower Manhattan,Coffee
37.20,12,8,12,14,Wed,afternoon,Spicy Eye Opener Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
34.10,11,8,11,14,Wed,afternoon,Jamaican Coffee River Rg,Premium brewed coffee,Astoria,Coffee
28.00,8,7,8,14,Wed,afternoon,Croissant,Pastry,Astoria,Bakery
42.75,9,5,9,14,Wed,afternoon,Sustainably Grown Organic Lg,Hot chocolate,Lower Manhattan,Drinking Chocolate
39.20,16,9,16,14,Wed,afternoon,Jamaican Coffee River Sm,Premium brewed coffee,Astoria,Coffee
37.50,15,10,15,14,Wed,afternoon,Peppermint Rg,Brewed herbal tea,Lower Manhattan,Tea
39.00,13,9,13,14,Wed,afternoon,Our Old Time Diner Blend Lg,Drip coffee,Hell's Kitchen,Coffee
14.00,4,4,4,14,Wed,afternoon,Croissant,Pastry,Hell's Kitchen,Bakery
40.30,13,7,13,14,Wed,afternoon,Jamaican Coffee River Rg,Premium brewed coffee,Lower Manhattan,Coffee
40.00,16,9,16,14,Wed,afternoon,Morning Sunrise Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
54.00,12,9,12,14,Wed,afternoon,Dark chocolate Lg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
37.50,15,10,15,15,Wed,afternoon,Peppermint Rg,Brewed herbal tea,Lower Manhattan,Tea
45.00,15,9,15,15,Wed,afternoon,Our Old Time Diner Blend Lg,Drip coffee,Astoria,Coffee
60.00,16,8,16,15,Wed,afternoon,Cappuccino,Barista Espresso,Lower Manhattan,Coffee
24.50,7,7,7,15,Wed,afternoon,Croissant,Pastry,Lower Manhattan,Bakery
35.00,10,7,10,15,Wed,afternoon,Dark chocolate Rg,Hot chocolate,Lower Manhattan,Drinking Chocolate
60.00,20,13,20,15,Wed,afternoon,Brazilian Rg,Organic brewed coffee,Astoria,Coffee
30.00,10,6,10,15,Wed,afternoon,Earl Grey Lg,Brewed Black tea,Hell's Kitchen,Tea
56.25,15,14,15,15,Wed,afternoon,Jumbo Savory Scone,Scone,Astoria,Bakery
30.00,10,7,10,15,Wed,afternoon,Traditional Blend Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
14.00,4,4,4,15,Wed,afternoon,Croissant,Pastry,Hell's Kitchen,Bakery
32.50,13,8,13,15,Wed,afternoon,Serenity Green Tea Rg,Brewed Green tea,Lower Manhattan,Tea
24.00,8,4,8,15,Wed,afternoon,Columbian Medium Roast Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
33.00,15,11,15,15,Wed,afternoon,Ethiopia Sm,Gourmet brewed coffee,Astoria,Coffee
27.00,9,6,9,15,Wed,afternoon,Ethiopia Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
32.00,16,11,16,15,Wed,afternoon,Columbian Medium Roast Sm,Gourmet brewed coffee,Lower Manhattan,Coffee
15.00,6,5,6,15,Wed,afternoon,Traditional Blend Chai Rg,Brewed Chai tea,Astoria,Tea
60.00,16,10,16,15,Wed,afternoon,Jamaican Coffee River Lg,Premium brewed coffee,Lower Manhattan,Coffee
50.00,20,13,20,15,Wed,afternoon,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
9.00,3,2,3,15,Wed,afternoon,Our Old Time Diner Blend Lg,Drip coffee,Hell's Kitchen,Coffee
42.00,14,8,14,15,Wed,afternoon,Serenity Green Tea Lg,Brewed Green tea,Hell's Kitchen,Tea
38.25,9,5,9,15,Wed,afternoon,Latte Rg,Barista Espresso,Lower Manhattan,Coffee
16.25,5,5,5,15,Wed,afternoon,Hazelnut Biscotti,Biscotti,Lower Manhattan,Bakery
16.25,5,5,5,15,Wed,afternoon,Cranberry Scone,Scone,Hell's Kitchen,Bakery
18.00,6,6,6,15,Wed,afternoon,Oatmeal Scone,Scone,Lower Manhattan,Bakery
63.75,17,9,17,15,Wed,afternoon,Latte,Barista Espresso,Lower Manhattan,Coffee
55.00,22,11,22,15,Wed,afternoon,Earl Grey Rg,Brewed Black tea,Astoria,Tea
16.00,8,6,8,16,Wed,evening,Our Old Time Diner Blend Sm,Drip coffee,Hell's Kitchen,Coffee
17.50,7,5,7,16,Wed,evening,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
22.50,6,6,6,16,Wed,evening,Almond Croissant,Pastry,Hell's Kitchen,Bakery
22.50,9,6,9,16,Wed,evening,Our Old Time Diner Blend Rg,Drip coffee,Astoria,Coffee
25.00,10,7,10,16,Wed,evening,Morning Sunrise Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
24.00,8,5,8,16,Wed,evening,Lemon Grass Lg,Brewed herbal tea,Astoria,Tea
42.00,14,10,14,16,Wed,evening,Our Old Time Diner Blend Lg,Drip coffee,Astoria,Coffee
17.15,7,4,7,16,Wed,evening,Jamaican Coffee River Sm,Premium brewed coffee,Lower Manhattan,Coffee
63.75,15,11,15,16,Wed,evening,Cappuccino Lg,Barista Espresso,Astoria,Coffee
17.50,7,5,7,16,Wed,evening,Our Old Time Diner Blend Rg,Drip coffee,Lower Manhattan,Coffee
56.25,15,10,15,16,Wed,evening,Cappuccino,Barista Espresso,Hell's Kitchen,Coffee
52.70,17,10,17,16,Wed,evening,Jamaican Coffee River Rg,Premium brewed coffee,Astoria,Coffee
17.10,6,5,6,16,Wed,evening,Ouro Brasileiro shot,Barista Espresso,Lower Manhattan,Coffee
49.00,14,11,14,16,Wed,evening,Brazilian Lg,Organic brewed coffee,Astoria,Coffee
59.50,17,13,17,16,Wed,evening,Ethiopia Lg,Gourmet brewed coffee,Astoria,Coffee
44.00,11,7,11,16,Wed,evening,Morning Sunrise Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
84.00,28,17,28,16,Wed,evening,Espresso shot,Barista Espresso,Astoria,Coffee
12.40,4,4,4,16,Wed,evening,Ginger Scone,Scone,Lower Manhattan,Bakery
27.50,11,8,11,16,Wed,evening,Serenity Green Tea Rg,Brewed Green tea,Hell's Kitchen,Tea
17.50,5,5,5,16,Wed,evening,Ginger Biscotti,Biscotti,Hell's Kitchen,Bakery
27.30,10,8,10,16,Wed,evening,Ouro Brasileiro shot,Barista Espresso,Hell's Kitchen,Coffee
45.00,18,14,18,17,Wed,evening,Earl Grey Rg,Brewed Black tea,Hell's Kitchen,Tea
27.50,11,7,11,17,Wed,evening,Columbian Medium Roast Rg,Gourmet brewed coffee,Hell's Kitchen,Coffee
54.00,18,11,18,17,Wed,evening,English Breakfast Lg,Brewed Black tea,Hell's Kitchen,Tea
22.50,9,6,9,17,Wed,evening,Traditional Blend Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
26.40,12,7,12,17,Wed,evening,Ethiopia Sm,Gourmet brewed coffee,Lower Manhattan,Coffee
24.50,7,5,7,17,Wed,evening,Dark chocolate Rg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
17.50,5,5,5,17,Wed,evening,Croissant,Pastry,Lower Manhattan,Bakery
72.25,17,12,17,17,Wed,evening,Latte Rg,Barista Espresso,Hell's Kitchen,Coffee
6.00,2,2,2,17,Wed,evening,Oatmeal Scone,Scone,Hell's Kitchen,Bakery
20.00,8,6,8,17,Wed,evening,Peppermint Rg,Brewed herbal tea,Lower Manhattan,Tea
80.50,23,12,23,17,Wed,evening,Dark chocolate Rg,Hot chocolate,Astoria,Drinking Chocolate
30.00,10,5,10,17,Wed,evening,Espresso shot,Barista Espresso,Lower Manhattan,Coffee
13.00,4,4,4,17,Wed,evening,Cranberry Scone,Scone,Lower Manhattan,Bakery
60.00,20,15,20,17,Wed,evening,Serenity Green Tea Lg,Brewed Green tea,Astoria,Tea
28.60,13,9,13,17,Wed,evening,Brazilian Sm,Organic brewed coffee,Astoria,Coffee
15.00,5,5,5,17,Wed,evening,Oatmeal Scone,Scone,Astoria,Bakery
12.00,4,4,4,17,Wed,evening,Brazilian Rg,Organic brewed coffee,Lower Manhattan,Coffee
33.00,11,8,11,17,Wed,evening,Traditional Blend Chai Lg,Brewed Chai tea,Astoria,Tea
21.00,7,6,7,17,Wed,evening,Columbian Medium Roast Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
17.50,7,5,7,18,Wed,evening,Morning Sunrise Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
49.50,11,7,11,18,Wed,evening,Dark chocolate Lg,Hot chocolate,Astoria,Drinking Chocolate
48.00,16,10,16,18,Wed,evening,Brazilian Rg,Organic brewed coffee,Hell's Kitchen,Coffee
21.00,6,4,6,18,Wed,evening,Ethiopia Lg,Gourmet brewed coffee,Lower Manhattan,Coffee
40.00,16,10,16,18,Wed,evening,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
56.10,22,15,22,18,Wed,evening,Spicy Eye Opener Chai Rg,Brewed Chai tea,Astoria,Tea
51.00,17,11,17,18,Wed,evening,Ethiopia Rg,Gourmet brewed coffee,Astoria,Coffee
55.00,22,15,22,18,Wed,evening,Our Old Time Diner Blend Rg,Drip coffee,Hell's Kitchen,Coffee
18.00,6,4,6,18,Wed,evening,Ethiopia Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
51.00,17,11,17,18,Wed,evening,Lemon Grass Lg,Brewed herbal tea,Hell's Kitchen,Tea
57.00,19,11,19,18,Wed,evening,English Breakfast Lg,Brewed Black tea,Hell's Kitchen,Tea
31.85,13,7,13,18,Wed,evening,Jamaican Coffee River Sm,Premium brewed coffee,Hell's Kitchen,Coffee
33.75,9,7,9,18,Wed,evening,Latte,Barista Espresso,Hell's Kitchen,Coffee
28.00,7,5,7,18,Wed,evening,Morning Sunrise Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
36.00,18,11,18,18,Wed,evening,Columbian Medium Roast Sm,Gourmet brewed coffee,Astoria,Coffee
45.00,12,7,12,19,Wed,evening,Sustainably Grown Organic Rg,Hot chocolate,Astoria,Drinking Chocolate
35.00,14,9,14,19,Wed,evening,Columbian Medium Roast Rg,Gourmet brewed coffee,Astoria,Coffee
24.00,8,5,8,19,Wed,evening,Our Old Time Diner Blend Lg,Drip coffee,Hell's Kitchen,Coffee
49.60,16,10,16,19,Wed,evening,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
20.00,8,5,8,19,Wed,evening,Traditional Blend Chai Rg,Brewed Chai tea,Astoria,Tea
12.00,4,3,4,19,Wed,evening,Earl Grey Lg,Brewed Black tea,Hell's Kitchen,Tea
30.00,8,5,8,19,Wed,evening,Cappuccino,Barista Espresso,Hell's Kitchen,Coffee
39.00,13,10,13,19,Wed,evening,Traditional Blend Chai Lg,Brewed Chai tea,Astoria,Tea
42.50,17,10,17,19,Wed,evening,Peppermint Rg,Brewed herbal tea,Astoria,Tea
22.50,9,6,9,19,Wed,evening,English Breakfast Rg,Brewed Black tea,Astoria,Tea
42.00,14,10,14,19,Wed,evening,Peppermint Lg,Brewed herbal tea,Hell's Kitchen,Tea
45.00,12,9,12,19,Wed,evening,Jamaican Coffee River Lg,Premium brewed coffee,Astoria,Coffee
60.00,20,13,20,07,Thu,morning,Serenity Green Tea Lg,Brewed Green tea,Lower Manhattan,Tea
42.00,14,11,14,07,Thu,morning,Our Old Time Diner Blend Lg,Drip coffee,Lower Manhattan,Coffee
28.88,8,8,8,07,Thu,morning,Croissant,Pastry,Lower Manhattan,Bakery
55.00,25,15,25,08,Thu,morning,Ethiopia Sm,Gourmet brewed coffee,Hell's Kitchen,Coffee
156.00,39,22,39,08,Thu,morning,Morning Sunrise Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
85.00,34,20,34,08,Thu,morning,Peppermint Rg,Brewed herbal tea,Lower Manhattan,Tea
57.00,19,11,19,08,Thu,morning,Serenity Green Tea Lg,Brewed Green tea,Lower Manhattan,Tea
65.10,21,15,21,08,Thu,morning,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
48.00,16,12,16,08,Thu,morning,Lemon Grass Lg,Brewed herbal tea,Lower Manhattan,Tea
46.00,23,14,23,08,Thu,morning,Columbian Medium Roast Sm,Gourmet brewed coffee,Hell's Kitchen,Coffee
33.15,13,10,13,08,Thu,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
54.00,18,11,18,08,Thu,morning,Ethiopia Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
66.00,33,20,33,08,Thu,morning,Our Old Time Diner Blend Sm,Drip coffee,Lower Manhattan,Coffee
69.00,23,16,23,09,Thu,morning,Earl Grey Lg,Brewed Black tea,Lower Manhattan,Tea
123.50,26,19,26,09,Thu,morning,Sustainably Grown Organic Lg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
67.50,27,18,27,09,Thu,morning,Earl Grey Rg,Brewed Black tea,Hell's Kitchen,Tea
90.00,30,19,30,09,Thu,morning,Columbian Medium Roast Lg,Gourmet brewed coffee,Lower Manhattan,Coffee
65.00,26,17,26,09,Thu,morning,English Breakfast Rg,Brewed Black tea,Hell's Kitchen,Tea
